j ai ans .	i m .
je suis desole si mes paroles te blessent .	i m sorry if my words hurt you .
je suis desole de t avoir derange !	i m sorry to have bothered you .
je suis desole de t avoir derangee !	i m sorry to have bothered you .
je suis desolee de t avoir derange !	i m sorry to have bothered you .
je suis desolee de t avoir derangee !	i m sorry to have bothered you .
je suis desole de vous avoir derange !	i m sorry to have bothered you .
je suis desolee de vous avoir derange !	i m sorry to have bothered you .
je suis desole de vous avoir derangee !	i m sorry to have bothered you .
je suis desolee de vous avoir derangee !	i m sorry to have bothered you .
je suis desole de vous avoir deranges !	i m sorry to have bothered you .
je suis desolee de vous avoir deranges !	i m sorry to have bothered you .
je suis desole de vous avoir derangees !	i m sorry to have bothered you .
je suis desolee de vous avoir derangees !	i m sorry to have bothered you .
je regrette je n ai pas de monnaie .	i m sorry i don t have change .
je suis desole mais c est impossible .	i m sorry but it s impossible .
je suis desole ce vol est complet .	i m sorry that flight is full .
je commence a me sentir desespere .	i m starting to feel desperate .
je commence a me sentir desesperee .	i m starting to feel desperate .
c est encore moi le patron ici .	i m still the boss around here .
j attends toujours ma commande .	i m still waiting for my order .
j attends toujours pour ma commande .	i m still waiting for my order .
je suis sure que tout ira bien .	i m sure everything will be ok .
je suis sur que tout se passera bien .	i m sure everything will be ok .
je suis sur qu il viendra demain .	i m sure he will come tomorrow .
je suis certain qu elle va bientot surgir .	i m sure she will turn up soon .
je suis sure que tom va le faire .	i m sure that tom will do that .
tu as surement d autres talents .	i m sure you have other skills .
je suis le benjamin de la famille .	i m the youngest in the family .
je suis le plus jeune enfant .	i m the youngest in the family .
je suis la plus jeune enfant .	i m the youngest in the family .
j ai la flemme de faire mes devoirs .	i m too lazy to do my homework .
je m entraine pour le triathlon .	i m training for the triathlon .
je suis habitue a ce genre de choses .	i m used to this sort of thing .
je suis habituee a ce genre de choses .	i m used to this sort of thing .
je suis tres content de vous revoir .	i m very glad to see you again .
je suis tres content de te revoir .	i m very glad to see you again .
je suis tres contente de vous revoir .	i m very glad to see you again .
je suis tres contente de te revoir .	i m very glad to see you again .
je suis tres content de ma nouvelle voiture .	i m very happy with my new car .
je suis tres interesse par le poste .	i m very interested in the job .
je suis tres en faveur de cela .	i m very much in favor of this .
je suis tres fier de nos etudiants .	i m very proud of our students .
je suis tres fiere de nos etudiants .	i m very proud of our students .
je travaille pour une entreprise de commerce .	i m working for a trading firm .
je repasse mes mouchoirs .	i m ironing my handkerchiefs .
c est une femme d une grande beaute .	she is a woman of great beauty .
elle est toujours habillee en noir .	she is always dressed in black .
elle est toujours vetue de noir .	she is always dressed in black .
elle est toujours gentille avec tout le monde .	she is always kind to everyone .
elle est desireuse de visiter l europe .	she is anxious to visit europe .
elle passe a la tele ce soir .	she is appearing on tv tonight .
elle est appreciee de tout le monde .	she is appreciated by everyone .
elle est au courant de mon projet secret .	she is aware of my secret plan .
elle est assuree d etre surprise .	she is certain to be surprised .
elle est certaine de venir a temps .	she is certain to come on time .
elle est devouee a ses enfants .	she is devoted to her children .
elle manque de sens commun .	she is lacking in common sense .
elle a tres peur du noir .	she is very afraid of the dark .
elle a une conception cynique de la vie .	she is very cynical about life .
elle porte une bague de prix .	she is wearing a valuable ring .
elle ne convient pas a la tache .	she isn t adequate to the task .
elle dit que cela pouvait etre vrai .	she said that it might be true .
elle a dit que cela pouvait etre vrai .	she said that it might be true .
elle le sermonna pour son retard .	she scolded him for being late .
elle le reprimanda pour son retard .	she scolded him for being late .
elle l a sermonne pour son retard .	she scolded him for being late .
elle l a reprimande pour son retard .	she scolded him for being late .
elle m a envoye un telegramme urgent .	she sent me an urgent telegram .
elle parle vraiment bien l anglais .	she speaks english really well .
elle restait proche de son mari .	she stood close to her husband .
elle depend de son mari .	she s dependent on her husband .
elle depend de son epoux .	she s dependent on her husband .
elle cherche un meilleur emploi .	she s looking for a better job .
c est la plus belle femme .	she s the most beautiful woman .
elle a deux ans de plus que lui .	she s two years older than him .
elle est habituee a se lever tot .	she s used to getting up early .
elle s interesse beaucoup a la musique .	she s very interested in music .
elle s inquiete pour ses examens .	she s worrying about her exams .
ce sont des personnes pacifiques .	they are a peace loving people .
ce sont tous des enfants innocents .	they are all innocent children .
ils sont toujours a court d argent .	they are always short of money .
ils sont contents du resultat .	they are happy with the result .
ils sont en salle des professeurs .	they are in the teachers room .
ils sont en salle des profs .	they are in the teachers room .
ils sont loyaux envers leur maitre .	they are loyal to their master .
ils ne sont pas du tout interesses .	they are not at all interested .
elles ne sont pas du tout interessees .	they are not at all interested .
ils lisent des journaux et des livres .	they read newspapers and books .
ils lisent journaux et livres .	they read newspapers and books .
ils ont vraiment dormi a meme le sol .	they really slept on the floor .
ils menent grand train .	they re eating high on the hog .
ils vont commettre des erreurs .	they re going to make mistakes .
elles vont commettre des erreurs .	they re going to make mistakes .
ils le tiennent secret .	they re keeping it under wraps .
ils le gardent secret .	they re keeping it under wraps .
ils souffrent du paludisme .	they re suffering from malaria .
nous faisons face a une crise violente .	we are facing a violent crisis .
nous allons partir demain .	we are going to leave tomorrow .
nous regrettons de ne pas pouvoir vous aider .	we are sorry we can t help you .
nous parvinmes a la gare a temps .	we reached the station on time .
nous sommes parvenus a la gare a temps .	we reached the station on time .
nous sommes parvenues a la gare a temps .	we reached the station on time .
nous pouvons vraiment le realiser .	we really can make this happen .
nous avons vraiment beaucoup en commun .	we really have a lot in common .
nous sommes tous apres la meme chose .	we re all after the same thing .
nous le faisons pour l argent .	we re doing this for the money .
nous avons fini de repondre aux questions .	we re done answering questions .
on retourne a la case depart .	we re going back to square one .
nous allons travailler tard .	we re going to be working late .
nous allons mourir de froid .	we re going to freeze to death .
nous passerons une bonne journee .	we re going to have a good day .
nous allons manquer de faire ceci .	we re going to miss doing this .
nous manquerons de faire ceci .	we re going to miss doing this .
nous allons attendre dans la voiture .	we re going to wait in the car .
nous ne faisons rien de mal .	we re not doing anything wrong .
nous ne sommes pas ouvert pour thanksgiving .	we re not open on thanksgiving .
nous planifions de faire seulement cela .	we re planning to do just that .
nous sommes tellement contents de vous avoir ici !	we re so glad to have you here .
nous sommes tellement contentes de vous avoir ici !	we re so glad to have you here .
nous sommes tellement contents de t avoir ici !	we re so glad to have you here .
nous sommes tellement contentes de t avoir ici !	we re so glad to have you here .
nous attendons que tu sois parti .	we re waiting for you to leave .
tu abuses de ton autorite .	you are abusing your authority .
vous abusez de votre autorite .	you are abusing your authority .
vous n etes plus le bienvenu ici .	you are no longer welcome here .
vous n etes plus les bienvenus ici .	you are no longer welcome here .
vous n etes plus les bienvenues ici .	you are no longer welcome here .
vous n etes plus la bienvenue ici .	you are no longer welcome here .
tu n es plus le bienvenu ici .	you are no longer welcome here .
tu n es plus la bienvenue ici .	you are no longer welcome here .
vous ne devez pas quitter cette piece .	you are not to leave this room .
tu ne dois pas quitter cette piece .	you are not to leave this room .
vous devez vraiment voir ce film .	you really must see that movie .
vous l avez reconnu n est ce pas ?	you recognized him didn t you ?
tu l as reconnu n est ce pas ?	you recognized him didn t you ?
tu es une femme tres attirante .	you re a very attractive woman .
vous etes une femme tres seduisante .	you re a very attractive woman .
tu es autoritaire non ?	you re being bossy aren t you ?
tu deviens tres injuste envers moi .	you re being very unfair to me .
vous allez adorer ce livre .	you re going to love this book .
vous adorerez ce livre .	you re going to love this book .
tu vas te bousiller les yeux .	you re going to ruin your eyes .
vous allez vous bousiller les yeux .	you re going to ruin your eyes .
tu es d une humeur etrange aujourd hui .	you re in a strange mood today .
tu es bien plus grand que tom .	you re much taller than tom is .
vous etes mes amis tous les deux .	you re my friends both of you .
tu ne rajeunis pas .	you re not getting any younger .
tu n es pas suffisament age pour boire .	you re not old enough to drink .
vous n etes pas suppose vous trouver la .	you re not supposed to be here .
tu n es pas suppose te trouver la .	you re not supposed to be here .
tu n es pas la seule femme ici .	you re not the only woman here .
tu n es pas l unique femme ici .	you re not the only woman here .
vous n etes pas la seule femme ici .	you re not the only woman here .
vous n etes pas l unique femme ici .	you re not the only woman here .
tu en fais partie n est ce pas ?	you re one of them aren t you ?
vous en faites partie n est ce pas ?	you re one of them aren t you ?
tu commences a t echauffer maintenant .	you re starting to warm up now .
tu restes avec tom n est ce pas ?	you re staying with tom right ?
vous restez avec tom n est ce pas ?	you re staying with tom right ?
c est toi qui t es emballe .	you re the one that went crazy .
c est vous qui vous vous etes emballe .	you re the one that went crazy .
c est toi qui t es emballee .	you re the one that went crazy .
c est vous qui vous vous etes emballee .	you re the one that went crazy .
tu es le seul pour moi maintenant .	you re the only one for me now .
tu es la seule pour moi desormais .	you re the only one for me now .
vous etes le seul desormais pour moi .	you re the only one for me now .
vous etes la seule desormais pour moi .	you re the only one for me now .
vous etes la plus grande personne ici .	you re the tallest person here .
tu es la personne la plus grande ici .	you re the tallest person here .
on vous demande au telephone .	you re wanted on the telephone .
il est bon en anglais .	he is a good speaker of english .
c est un membre estime .	he is a member in good standing .
c est un membre du comite .	he is a member of the committee .
c est un ecrivain tres imaginatif .	he is a very imaginative writer .
c est un ecrivain plein d imagination .	he is a very imaginative writer .
il est absent pour cause de maladie .	he is absent because of illness .
il connait le maire .	he is acquainted with the mayor .
il a peur de son grand pere .	he is afraid of his grandfather .
il a peur de faire des erreurs .	he is afraid of making mistakes .
il craint de commettre des erreurs .	he is afraid of making mistakes .
il est toujours chez lui le lundi .	he is always at home on mondays .
il cherche toujours les compliments .	he is always looking for praise .
il fait attention a ses manieres .	he is careful about his manners .
il s ameliore petit a petit .	he is getting better bit by bit .
il va me l expliquer .	he is going to explain it to me .
il compte parmi mes amis .	he is included among my friends .
il fait partie de mes amis .	he is included among my friends .
c est mon frere pas mon pere .	he is my brother not my father .
il n a pas honte d etre pauvre .	he is not ashamed of being poor .
il est assez age pour conduire une voiture .	he is old enough to drive a car .
il est fier d etre musicien .	he is proud of being a musician .
il est raisonnable dans ses exigences .	he is reasonable in his demands .
il est mon parent par alliance .	he is related to me by marriage .
il est satisfait du resultat .	he is satisfied with the result .
il souffre d un mal de tete .	he is suffering from a headache .
il est impopulaire pour une raison quelconque .	he is unpopular for some reason .
il a tres peur de sa mere .	he is very afraid of his mother .
il n est pas revenu de la montagne .	he isn t back from the mountain .
il m a montre sa photo en secret .	he secretly showed me her photo .
il sembla surpris par cette nouvelle .	he seemed surprised at the news .
il semble qu il ait vecu en espagne .	he seems to have lived in spain .
il reste rarement chez lui le dimanche .	he seldom stays home on sundays .
il m a appris a faire un gateau .	he showed me how to make a cake .
il me montra comment confectionner un gateau .	he showed me how to make a cake .
il me montra comment faire un gateau .	he showed me how to make a cake .
il resolut le difficile probleme .	he solved the difficult problem .
il a resolu le difficile probleme .	he solved the difficult problem .
il resolut le probleme facilement .	he solved the problem with ease .
il se tenait au bout de la queue .	he stood at the end of the line .
il se tenait au bout de la file .	he stood at the end of the line .
il a etudie l economie a la fac .	he studied economics at college .
il me soupconne de mentir .	he suspects me of telling a lie .
c est un expert a la fronde .	he s an expert with a slingshot .
il enseigne depuis ans .	he s been teaching for years .
cela fait vingt ans qu il enseigne .	he s been teaching for years .
il est bon a ce genre de choses .	he s good at this sort of thing .
il risque d etre expulse .	he s in danger of being evicted .
il est en bonne condition physique .	he s in good physical condition .
il part pour tokyo demain .	he s leaving for tokyo tomorrow .
il a vecu ici sa vie entiere .	he s lived here his entire life .
il a vecu ici toute sa vie .	he s lived here his entire life .
il economise pour pouvoir aller a l universite .	he s saving up to go to college .
il commence a se sentir desespere .	he s starting to feel desperate .
il est habitue a parler en public .	he s used to speaking in public .
je suis accoutume au temps froid .	i am accustomed to cold weather .
je suis habitue a vivre seul .	i am accustomed to living alone .
je suis habituee a vivre seule .	i am accustomed to living alone .
je suis habitue a travailler dur .	i am accustomed to working hard .
je suis habituee a travailler dur .	i am accustomed to working hard .
je connais l auteur .	i am acquainted with the author .
j ai connaissance de cette coutume .	i am acquainted with the custom .
j ai peur de devoir partir maintenant .	i am afraid i must be going now .
je suis contre le travail du dimanche .	i am against working on sundays .
j ai vraiment besoin de ton aide .	i am badly in need of your help .
je suis concerne par sa sante .	i am concerned about his health .
je suis convaincu de son innocence .	i am convinced of his innocence .
je connais bien ce sujet .	i am familiar with this subject .
je suis habitue a ce probleme .	i am familiar with this subject .
je repare le lave linge .	i am fixing the washing machine .
je me rends a un pic nic demain .	i am going on a picnic tomorrow .
je vais a la piscine .	i am going to the swimming pool .
je ne suis pas toujours libre le dimanche .	i am not always free on sundays .
je n ai peur de rien .	i am not frightened of anything .
je ne suis absolument pas surpris .	i am not in the least surprised .
je vais voir mary cet apres midi .	i am seeing mary this afternoon .
je vois mary cette apres midi .	i am seeing mary this afternoon .
veuillez m excuser de vous avoir derange .	i am sorry to have troubled you .
je pense a mes enfants .	i am thinking about my children .
je suis trop fatigue pour marcher davantage .	i am too tired to walk any more .
je suis tres sensible au froid .	i am very sensitive to the cold .
ma famille et ma patrie me manquent .	i miss my family and my country .
ma famille et mes amis me manquent .	i miss my family and my friends .
j ai rate le dernier bus hier .	i missed the last bus yesterday .
je dois terminer mes devoirs .	i must get my homework finished .
je dois remettre le rapport aujourd hui .	i must hand in the report today .
je dois faire reparer mon velo .	i must have my bicycle repaired .
je dois apprendre ce poeme par c ur .	i must learn this poem by heart .
je crains de ne pas avoir d experience .	i m afraid i have no experience .
j ai bien peur qu il pleuve demain .	i m afraid it may rain tomorrow .
j ai peur qu il pleuve ce soir .	i m afraid it will rain tonight .
je crains d etre eventuellement en retard .	i m afraid that i might be late .
je crains que tu m aies mal compris .	i m afraid you misunderstood me .
je crains que tu m aies mal comprise .	i m afraid you misunderstood me .
je suis occupe a preparer le voyage .	i m busy preparing for the trip .
je reflechis a aller avec eux .	i m considering going with them .
je suis employe par un avocat francais .	i m employed by a french lawyer .
j attends une lettre d elle .	i m expecting a letter from her .
je ressens des brulures d estomac .	i m experiencing some heartburn .
je suis habitue a la situation .	i m familiar with the situation .
je suis habituee a la situation .	i m familiar with the situation .
je suis ami avec tous ces gars la .	i m friends with all those guys .
je me marie dimanche prochain .	i m getting married next sunday .
je me prepare au pire . . .	i m getting ready for the worst .
je pars en vacances la semaine prochaine .	i m going on vacation next week .
j irai a new york la semaine prochaine .	i m going to new york next week .
je vais attraper le bus suivant .	i m going to catch the next bus .
je vais appeler la police .	i m going to go call the police .
je vais prendre quelques photos .	i m going to take some pictures .
je vais te donner une lecon .	i m going to teach you a lesson .
je vais vous donner une lecon .	i m going to teach you a lesson .
je vais te dire la verite .	i m going to tell you the truth .
je vais au commissariat .	i m going to the police station .
je suis aussi perplexe que vous l etes .	i m just as confused as you are .
je suis aussi perplexe que tu l es .	i m just as confused as you are .
je reviens a l essentiel .	i m just getting back to basics .
je m inquiete pour moi .	i m just looking out for myself .
je suis assez occupe tom .	i m kind of busy right now tom .
je pars pour le canada demain .	i m leaving for canada tomorrow .
je quitte la ville pour quelques jours .	i m leaving town for a few days .
je cherche un correspondant francais .	i m looking for a french penpal .
je cherche un travail a mi temps .	i m looking for a part time job .
je cherche une chambre a louer .	i m looking for a room for rent .
je n ai plus peur des araignees .	i m no longer afraid of spiders .
je ne suis pas medecin mais professeur .	i m not a doctor but a teacher .
je ne suis pas medecin mais enseignant .	i m not a doctor but a teacher .
je ne suis pas medecin mais instituteur .	i m not a doctor but a teacher .
je n ai pas peur d etre critique .	i m not afraid to be criticized .
je ne suis pas plus intelligent que lui .	i m not as intelligent as he is .
je ne vais pas me disputer avec toi !	i m not going to argue with you .
je ne vais pas me disputer avec vous !	i m not going to argue with you .
je ne vais pas fermer la porte .	i m not going to close the door .
je ne vais pas jouer a ce jeu .	i m not going to play this game .
je ne vais pas vous le repeter .	i m not going to tell you again .
je ne vais pas te le repeter .	i m not going to tell you again .
je ne vais pas gaspiller mon argent .	i m not going to waste my money .
je ne vis plus avec lui .	i m not living with him anymore .
je ne prends pas non pour une reponse .	i m not taking no for an answer .
je suis evidemment tres decu .	i m obviously very disappointed .
je suis evidemment tres decue .	i m obviously very disappointed .
je ne le dirai pas deux fois .	i m only going to say this once .
je suis assez sur que tom est competent .	i m pretty sure tom s competent .
je suis plutot surpris d entendre cela .	i m rather surprised to hear it .
je suis pret pour mon prochain defi .	i m ready for my next challenge .
je suis pret a retrousser mes manches .	i m ready to roll up my sleeves .
je suis pret a jeter l eponge .	i m ready to throw in the towel .
je manque d espace dans ma penderie .	i m running out of closet space .
je manque d espace dans mon placard .	i m running out of closet space .
je suis satisfait de ses progres .	i m satisfied with his progress .
j economise pour ma vieillesse .	i m saving money for my old age .
en ce moment je manque de liquidites .	i m short of cash at the moment .
j ai sommeil alors je pars maintenant .	i m sleepy so i am leaving now .
je suis desole de la reponse tardive .	i m sorry for the late response .
je suis desole de t avoir derange .	i m sorry to have disturbed you .
je suis desolee de t avoir derange .	i m sorry to have disturbed you .
je suis desole de vous avoir derange .	i m sorry to have disturbed you .
je suis desolee de vous avoir derange .	i m sorry to have disturbed you .
je suis desole je ne parle pas francais .	i m sorry i don t speak french .
je suis desolee je ne parle pas francais .	i m sorry i don t speak french .
je suis sur que tom serait ravi .	i m sure tom would be delighted .
je suis sure que tom serait ravi .	i m sure tom would be delighted .
je suis certain que ca ira .	i m sure there ll be no problem .
je prends deux jours de conge .	i m taking a couple of days off .
je pars en vacances pour quelques jours .	i m taking a couple of days off .
je prends quelques jours de conge .	i m taking a couple of days off .
j ai trente ans de plus que toi .	i m thirty years older than you .
j ai trente ans de plus que vous .	i m thirty years older than you .
j en ai marre qu il m engueule .	i m tired of him bawling me out .
je suis trop fatigue pour sortir courir .	i m too tired to go out jogging .
je suis tres reconnaissant pour votre aide .	i m very grateful for your help .
je suis tres satisfait de mon achat .	i m very happy with my purchase .
je suis tres impressionne par votre travail .	i m very impressed by your work .
je suis tres heureux de ton travail .	i m very pleased with your work .
je suis ravi de votre travail .	i m very pleased with your work .
j attends qu il revienne .	i m waiting for him to get back .
j attends ton aide .	i m waiting for your assistance .
c est une voisine des plus courtoises .	she is a most gracious neighbor .
elle est experte en mathematiques .	she is an expert in mathematics .
elle est inquiete pour sa securite .	she is anxious about her safety .
elle est maigre comme un manche a balai .	she is as thin as a broom stick .
il lui fait du chantage .	she is being blackmailed by him .
il exerce sur elle du chantage .	she is being blackmailed by him .
elle est certaine de reussir les examens .	she is certain to pass the exam .
elle lui est vaguement apparentee .	she is distantly related to him .
elle lui est apparentee de maniere lointaine .	she is distantly related to him .
elle attend un bebe pour juin .	she is expecting a baby in june .
elle parle bien anglais .	she is good at speaking english .
elle cherche ses cles de voiture .	she is looking for her car keys .
elle cherche les cles de sa voiture .	she is looking for her car keys .
elle fait un regime pour perdre du poids .	she is on a diet to lose weight .
elle est deux ans plus vieille que vous .	she is two years older than you .
elle est deux ans plus vieille que toi .	she is two years older than you .
elle a deux ans de plus que toi .	she is two years older than you .
elle a deux ans de plus que vous .	she is two years older than you .
elle a dit qu elle reviendrait tres bientot .	she said she would be back soon .
elle a chante une chanson japonaise pour nous .	she sang a japanese song for us .
elle nous a chante une chanson japonaise .	she sang a japanese song for us .
elle l a vu conduire sa nouvelle voiture .	she saw him driving his new car .
elle le vit conduire sa nouvelle voiture .	she saw him driving his new car .
en chemin elle a vu beaucoup d animaux .	she saw many animals on the way .
elle dit qu elle aime les fleurs .	she says that she likes flowers .
elle passa toute l apres midi a cuisiner .	she spent all afternoon cooking .
elle passa tout l apres midi a cuisiner .	she spent all afternoon cooking .
elle est partie hier pour kyoto .	she started for kyoto yesterday .
elle a soudainement perdu connaissance .	she suddenly lost consciousness .
elle est une personne tres interessante .	she s a very interesting person .
elle demande l impossible .	she s asking for the impossible .
elle est materialiste et superficielle .	she s materialistic and shallow .
elle n admet pas son erreur .	she s not admitting her mistake .
elle a six ans de plus que moi .	she s six years older than i am .
elle est six ans plus agee que moi .	she s six years older than i am .
elle est inquiete de ta securite .	she s worried about your safety .
elle est inquiete pour ta securite .	she s worried about your safety .
elle est inquiete pour votre securite .	she s worried about your safety .
ils sont au broadway avenue .	they are at broadway avenue .
ils discutent du probleme .	they are discussing the problem .
elles sont des etats unis .	they are from the united states .
ils sont jaloux de notre succes .	they are jealous of our success .
ils jalousent notre succes .	they are jealous of our success .
elles sont jalouses de notre succes .	they are jealous of our success .
elles jalousent notre succes .	they are jealous of our success .
ils quittent le japon demain .	they are leaving japan tomorrow .
elles parlent dans la cuisine .	they are talking in the kitchen .
ils veulent bien nous aider .	they are willing to help us out .
ils cherchent un bouc emissaire .	they re looking for a scapegoat .
elles cherchent un bouc emissaire .	they re looking for a scapegoat .
nous sommes inquiets pour leur securite .	we are anxious for their safety .
nous quittons le japon le mois prochain .	we are leaving japan next month .
je suis assez d accord avec vous .	we are pretty much in agreement .
nous sommes concurrents pas partenaires .	we re competitors not partners .
nous sommes concurrents non partenaires .	we re competitors not partners .
nous sommes concurrentes pas partenaires .	we re competitors not partners .
nous nous faisons du souci pour votre securite .	we re concerned for your safety .
nous nous soucions de ta securite .	we re concerned for your safety .
nous allons beaucoup nous amuser .	we re going to have so much fun .
nous nous appretons justement a manger .	we re just getting ready to eat .
nous ne travaillons plus pour tom .	we re no longer working for tom .
nous travaillons aussi vite que nous pouvons .	we re working as fast as we can .
nous travaillons aussi vite que nous le pouvons .	we re working as fast as we can .
vous etes bon cuisinier n est ce pas ?	you are a good cook aren t you ?
tu es bon cuisinier non ?	you are a good cook aren t you ?
tu es bonne cuisiniere n est ce pas ?	you are a good cook aren t you ?
vous etes bonne cuisiniere non ?	you are a good cook aren t you ?
tu es toujours aussi affaire qu une abeille .	you are always as busy as a bee .
tu doutes toujours de ma parole .	you are always doubting my word .
tu es suffisamment vieux pour savoir ca .	you are old enough to know this .
tu es deux fois plus fort que moi .	you are twice as strong as i am .
tu es deux fois plus forte que moi .	you are twice as strong as i am .
vous etes deux fois plus fort que moi .	you are twice as strong as i am .
vous etes deux fois plus forte que moi .	you are twice as strong as i am .
vous etes deux fois plus forts que moi .	you are twice as strong as i am .
vous etes deux fois plus fortes que moi .	you are twice as strong as i am .
le bleu vous sied superbement .	you are very attractive in blue .
le bleu vous va tres bien .	you are very attractive in blue .
vous etes tres jolie en bleu .	you are very attractive in blue .
vous etes la de bonne heure ce matin !	you are very early this morning .
vous ne pigez vraiment pas hein ?	you really don t get it do you ?
tu ne piges vraiment pas hein ?	you really don t get it do you ?
vous devriez vraiment acheter une nouvelle voiture .	you really should buy a new car .
tu devrais vraiment acheter une nouvelle voiture .	you really should buy a new car .
tu es l ami de tom pas vrai ?	you re tom s friend aren t you ?
vous etes decue n est ce pas ?	you re disappointed aren t you ?
vous etes decues n est ce pas ?	you re disappointed aren t you ?
vous etes decus n est ce pas ?	you re disappointed aren t you ?
vous etes decu n est ce pas ?	you re disappointed aren t you ?
tu es decue n est ce pas ?	you re disappointed aren t you ?
tu es decu n est ce pas ?	you re disappointed aren t you ?
vous avez fini de travailler non ?	you re done working aren t you ?
tu as fini de travailler non ?	you re done working aren t you ?
tu n es pas citadine si ?	you re not a city girl are you ?
vous n etes pas citadine si ?	you re not a city girl are you ?
tu n es pas des leurs si ?	you re not one of them are you ?
vous n etes pas des leurs si ?	you re not one of them are you ?
tu es de toute evidence en grande forme .	you re obviously in great shape .
vous etes toujours celibataire n est ce pas ?	you re still single aren t you ?
tu es toujours celibataire pas vrai ?	you re still single aren t you ?
tu es le meilleur pour ce travail .	you re the best man for the job .
tu es le meilleur pour le boulot .	you re the best man for the job .
tu es le champion n est ce pas ?	you re the champion aren t you ?
vous etes le champion n est ce pas ?	you re the champion aren t you ?
tu es la seule canadienne que je connaisse .	you re the only canadian i know .
tu es le seul canadien que je connaisse .	you re the only canadian i know .
tu gaspilles notre temps a tous les deux .	you re wasting both of our time .
vous gaspillez notre temps a tous les deux .	you re wasting both of our time .
c est un homme qui adore les ceremonies .	he is a man who loves ceremonies .
c est un champion du monde en puissance .	he is a potential world champion .
il est lyceen .	he is a student at a high school .
le garcon est un loup deguise en mouton .	he is a wolf in sheep s clothing .
il a l habitude de travailler dur .	he is accustomed to working hard .
il a connaissance de la tradition .	he is acquainted with the custom .
il est devant nous en mathematiques .	he is ahead of us in mathematics .
il perd tout le temps son parapluie .	he is always losing his umbrella .
il se moque toujours de moi .	he is always making a fool of me .
il est impatient de connaitre le resultat .	he is anxious to know the result .
il commence a perdre ses cheveux .	he is beginning to lose his hair .
il aime beaucoup ce genre de musique .	he is fond of this kind of music .
il aime ce genre de musique .	he is fond of this kind of music .
il est en bonne condition physique .	he is in good physical condition .
il est independant de ses parents .	he is independent of his parents .
il vit separe de sa femme .	he is living apart from his wife .
il n est pas chanteur mais acteur .	he is not a singer but an actor .
il est assez grand pour voyager seul .	he is old enough to travel alone .
il est content de ses nouvelles chaussures .	he is pleased with his new shoes .
il reste avec sa famille .	he is staying with his relatives .
il est toujours assis sur le banc .	he is still sitting on the bench .
il est encore assis sur le banc .	he is still sitting on the bench .
il est le chef de mon departement .	he is the chief of my department .
il est pere de deux fils .	he is the father of two children .
c est le plus grand artiste vivant .	he is the greatest living artist .
il est tres radin avec son argent .	he is very stingy with his money .
il est tres apprecie de ses etudiants .	he is well liked by his students .
c est vraiment un homme de parole .	he is indeed a man of his word .
il vous a tout sacrifie .	he sacrificed everything for you .
il t a tout sacrifie .	he sacrificed everything for you .
il a dit qu il etait neuf heures .	he said that it was nine o clock .
il a dit je veux devenir medecin . 	he said i want to be a doctor . 
il s assit et ecouta la radio .	he sat and listened to the radio .
il s est assis au bord du ruisseau .	he sat at the edge of the stream .
il s assit entoure par des jeunes filles .	he sat surrounded by young girls .
il gratta la boue de ses bottes .	he scraped the mud off his boots .
il lit rarement sinon jamais .	he seldom if ever reads a book .
il critiqua severement le maire .	he severely criticized the mayor .
il secoua son fils par les epaules .	he shook his son by the shoulder .
il a secoue son fils par les epaules .	he shook his son by the shoulder .
il montra des signes de grande emotion .	he showed signs of great emotion .
il quitta la piece en silence .	he silently went out of the room .
il parle mieux l anglais que moi .	he speaks english better than me .
il me fixa et ne dit rien .	he stared at me and said nothing .
il a cesse de lire le journal .	he stopped reading the newspaper .
il planta son couteau dans l arbre .	he stuck his knife into the tree .
il soutient le parti democrate .	he supports the democratic party .
il est anglais mais habite en inde .	he s english but lives in india .
c est le portrait crache de son pere .	he s a carbon copy of his father .
c est un pleurnichard comme toujours .	he s a crybaby just like always .
il est photographe professionnel .	he s a professional photographer .
il devient ramollo avec l age .	he s getting soft in his old age .
il ne craint pas du tout les serpents .	he s not at all afraid of snakes .
il est assez vieux pour etre son pere .	he s old enough to be her father .
il est assis dans la salle d attente .	he s sitting in the waiting room .
il est assis en salle d attente .	he s sitting in the waiting room .
il a trois ans de plus que moi .	he s three years older than i am .
il est recherche pour vol de vehicule .	he s wanted for grand theft auto .
j ai honte du comportement de mon fils .	i am ashamed of my son s conduct .
je suis convaincu de ton innocence .	i am convinced of your innocence .
je suis d accord avec cette proposition .	i am in favor of the proposition .
je quitte la ville pour quelques jours .	i am leaving town for a few days .
je cherche une bijouterie .	i am looking for a jewelry store .
je perds patience avec toi .	i am losing my patience with you .
je perds patience avec vous .	i am losing my patience with you .
je suis mariee et j ai deux fils .	i am married and i have two sons .
je suis marie et j ai deux fils .	i am married and i have two sons .
je ne suis pas medecin mais professeur .	i am not a doctor but a teacher .
je ne suis pas medecin mais enseignant .	i am not a doctor but a teacher .
je ne suis pas medecin mais instituteur .	i am not a doctor but a teacher .
je suis responsable de cette erreur .	i am responsible for the mistake .
je me prends quelques jours libres .	i am taking a couple of days off .
je prends quelques jours de conge .	i am taking a couple of days off .
j en ai assez de ma vie monotone .	i am tired of my monotonous life .
je me suis completement ridiculisee .	i made a complete fool of myself .
je me suis completement ridiculise .	i made a complete fool of myself .
j ai commis des erreurs a l examen .	i made some mistakes on the test .
je commis des erreurs a l examen .	i made some mistakes on the test .
